v,0.1,0.05,0.025,0.01,0.005,0.001,0.0005
1,3.08,6.31,12.71,31.82,63.66,318.29,636.58
2,1.89,2.92,4.30,6.96,9.92,22.33,31.60
3,1.64,2.35,3.18,4.54,5.84,10.21,12.92
4,1.53,2.13,2.78,3.75,4.60,7.17,8.61
5,1.48,2.02,2.57,3.36,4.03,5.89,6.87
6,1.44,1.94,2.45,3.14,3.71,5.21,5.96
7,1.41,1.89,2.36,3.00,3.50,4.79,5.41
8,1.40,1.86,2.31,2.90,3.36,4.50,5.04
9,1.38,1.83,2.26,2.82,3.25,4.30,4.78
10,1.37,1.81,2.23,2.76,3.17,4.14,4.59
11,1.36,1.80,2.20,2.72,3.11,4.02,4.44
12,1.36,1.78,2.18,2.68,3.05,3.93,4.32
13,1.35,1.77,2.16,2.65,3.01,3.85,4.22
14,1.35,1.76,2.14,2.62,2.98,3.79,4.14
15,1.34,1.75,2.13,2.60,2.95,3.73,4.07
16,1.34,1.75,2.12,2.58,2.92,3.69,4.01
17,1.33,1.74,2.11,2.57,2.90,3.65,3.97
18,1.33,1.73,2.10,2.55,2.88,3.61,3.92
19,1.33,1.73,2.09,2.54,2.86,3.58,3.88
20,1.33,1.72,2.09,2.53,2.85,3.55,3.85
21,1.32,1.72,2.08,2.52,2.83,3.53,3.82
22,1.32,1.72,2.07,2.51,2.82,3.50,3.79
23,1.32,1.71,2.07,2.50,2.81,3.48,3.77
24,1.32,1.71,2.06,2.49,2.80,3.47,3.75
25,1.32,1.71,2.06,2.49,2.79,3.45,3.73
26,1.31,1.71,2.06,2.48,2.78,3.43,3.71
27,1.31,1.70,2.05,2.47,2.77,3.42,3.69
28,1.31,1.70,2.05,2.47,2.76,3.41,3.67
29,1.31,1.70,2.05,2.46,2.76,3.40,3.66
30,1.31,1.70,2.04,2.46,2.75,3.39,3.65
32,1.31,1.69,2.04,2.45,2.74,3.37,3.62
34,1.31,1.69,2.03,2.44,2.73,3.35,3.60
36,1.31,1.69,2.03,2.43,2.72,3.33,3.58
38,1.30,1.69,2.02,2.43,2.71,3.32,3.57
40,1.30,1.68,2.02,2.42,2.70,3.31,3.55
42,1.30,1.68,2.02,2.42,2.70,3.30,3.54
44,1.30,1.68,2.02,2.41,2.69,3.29,3.53
46,1.30,1.68,2.01,2.41,2.69,3.28,3.51
48,1.30,1.68,2.01,2.41,2.68,3.27,3.50
50,1.30,1.68,2.01,2.40,2.68,3.26,3.50
52,1.30,1.67,2.01,2.40,2.67,3.25,3.49
54,1.30,1.67,2.00,2.40,2.67,3.25,3.48
56,1.30,1.67,2.00,2.39,2.67,3.24,3.47
58,1.30,1.67,2.00,2.39,2.66,3.24,3.47
60,1.30,1.67,2.00,2.39,2.66,3.23,3.46
120,1.29,1.66,1.98,2.36,2.62,3.16,3.37
inf,1.28,1.64,1.96,2.33,2.58,3.09,3.29
